description,category,source,notes
MOOLOOLABAR ORCHARD,Food,synthetic,auto-generated
MOOLOOLABAR CLARKE,Food,synthetic,auto-generated
FOODPANDA SINGAPORE,Food,synthetic,auto-generated
DELIVEROO SINGAPORE,Food,synthetic,auto-generated
GRAB*F-NEWORDERCODE,Food,synthetic,auto-generated
GRAB*FOOD DELIVERY,Food,synthetic,auto-generated
FAIRPRICE FINEST AMK,Food,synthetic,auto-generated
FAIRPRICE XTRA JURONG,Food,synthetic,auto-generated
COLD STORAGE VIVOCITY,Food,synthetic,auto-generated
COLD STORAGE ORCHARD,Food,synthetic,auto-generated
JASON S DELI SG,Food,synthetic,auto-generated
JASONS MARKET SG,Food,synthetic,auto-generated
JUNGYI KOREAN BBQ SG,Food,synthetic,auto-generated
KOREAN GARDEN BBQ,Food,synthetic,auto-generated
SEOULITE KOREAN REST,Food,synthetic,auto-generated
BULGOGI BROTHERS SG,Food,synthetic,auto-generated
GENKI JAPANESE REST,Food,synthetic,auto-generated
ICHIRYU RAMEN SG,Food,synthetic,auto-generated
IPPUDO SINGAPORE,Food,synthetic,auto-generated
MENYA MUSASHI SG,Food,synthetic,auto-generated
TAMPOPO RAMEN SG,Food,synthetic,auto-generated
RAMEN KEISUKE SG,Food,synthetic,auto-generated
MACCHA HOUSE ORCHARD,Food,synthetic,auto-generated
MATCHAYA SG,Food,synthetic,auto-generated
ARTEASTIQ SG,Food,synthetic,auto-generated
TWG TEA SINGAPORE,Food,synthetic,auto-generated
BENGAWANSOLO RAFFLES,Food,synthetic,auto-generated
BENGAWANSOLO ION,Food,synthetic,auto-generated
DONDONDONKI ORCHARD,Food,synthetic,auto-generated
DONDONDONKI SUNTEC,Food,synthetic,auto-generated
YOCHI ASIA BEDOK,Food,synthetic,auto-generated
YOCHI ASIA TAMPINES,Food,synthetic,auto-generated
ICETALK SIGNATURE SG,Food,synthetic,auto-generated
ICETALK JURONG,Food,synthetic,auto-generated
ITEAI12KATONG,Food,synthetic,auto-generated
ITEA BEDOK MALL,Food,synthetic,auto-generated
JUNGYI KOREAN SUNTEC,Food,synthetic,auto-generated
JUNGYIBBQ ORCHARD,Food,synthetic,auto-generated
NTUC FAIRPRICE AMK HUB,Groceries,synthetic,auto-generated
NTUC FAIRPRICE BEDOK,Groceries,synthetic,auto-generated
NTUC FAIRPRICE JURONG,Groceries,synthetic,auto-generated
NTUC FAIRPRICE TAMPINES,Groceries,synthetic,auto-generated
NTUC FAIRPRICE CLEMENTI,Groceries,synthetic,auto-generated
NTUC FAIRPRICE BISHAN,Groceries,synthetic,auto-generated
NTUC FAIRPRICE ONLINE,Groceries,synthetic,auto-generated
NTUC FP ONLINE,Groceries,synthetic,auto-generated
NTUC FP - AMK HUB,Groceries,synthetic,auto-generated
NTUC FP - BEDOK,Groceries,synthetic,auto-generated
NTUC FP - JURONG EAST,Groceries,synthetic,auto-generated
NTUC FP - TAMPINES,Groceries,synthetic,auto-generated
FAIRPRICE APP BEDOK,Groceries,synthetic,auto-generated
FAIRPRICE APP JURONG,Groceries,synthetic,auto-generated
FAIRPRICE APP ONLINE,Groceries,synthetic,auto-generated
FAIRPRICE APP TAMPINES,Groceries,synthetic,auto-generated
GIANT HYPERMART AMK,Groceries,synthetic,auto-generated
GIANT HYPERMART JURONG,Groceries,synthetic,auto-generated
GIANT SUPERMARKET SG,Groceries,synthetic,auto-generated
GIANT BEDOK,Groceries,synthetic,auto-generated
COLD STORAGE GROCERY,Groceries,synthetic,auto-generated
COLD STORAGE ONLINE,Groceries,synthetic,auto-generated
SHENG SIONG BEDOK,Groceries,synthetic,auto-generated
SHENG SIONG JURONG,Groceries,synthetic,auto-generated
SHENG SIONG TAMPINES,Groceries,synthetic,auto-generated
SHENG SIONG AMK,Groceries,synthetic,auto-generated
PRIME SUPERMARKET SG,Groceries,synthetic,auto-generated
PRIME MARKET BEDOK,Groceries,synthetic,auto-generated
REDMART SINGAPORE,Groceries,synthetic,auto-generated
AMAZON FRESH SG,Groceries,synthetic,auto-generated
JASONS MARKETPLACE SG,Groceries,synthetic,auto-generated
MARKETPLACE SG,Groceries,synthetic,auto-generated
ISETAN GROCERY SG,Groceries,synthetic,auto-generated
MEIDI YA GROCERY,Groceries,synthetic,auto-generated
GRAB*R-RIDEORDERCODE,Transport,synthetic,auto-generated
GRABTAXI SINGAPORE,Transport,synthetic,auto-generated
COMFORT DELGRO SG,Transport,synthetic,auto-generated
COMFORTDELGRO TAXI,Transport,synthetic,auto-generated
CDGTAXI SINGAPORE,Transport,synthetic,auto-generated
PREMIER TAXIS SG,Transport,synthetic,auto-generated
SMRT TAXIS SG,Transport,synthetic,auto-generated
TRANSCAB SG,Transport,synthetic,auto-generated
GOJEK SINGAPORE,Transport,synthetic,auto-generated
GOJEK*RIDE SG,Transport,synthetic,auto-generated
TADA MOBILITY SG,Transport,synthetic,auto-generated
RYDE SINGAPORE,Transport,synthetic,auto-generated
BUS/MRT123456789,Transport,synthetic,auto-generated
BUS/MRT987654321,Transport,synthetic,auto-generated
BUS/MRT456789123,Transport,synthetic,auto-generated
TRANSITLINK SG,Transport,synthetic,auto-generated
EZ-LINK TOP UP SG,Transport,synthetic,auto-generated
EZLINK TOPUP,Transport,synthetic,auto-generated
PARKING.SG BILL_ABC123,Transport,synthetic,auto-generated
PARKING.SG BILL_DEF456,Transport,synthetic,auto-generated
PARKING.SGBILL_GHI789,Transport,synthetic,auto-generated
PARKING.SGBILL_JKL012,Transport,synthetic,auto-generated
WILSON PARKING SG,Transport,synthetic,auto-generated
SECURE PARKING SG,Transport,synthetic,auto-generated
URA PARKING SG,Transport,synthetic,auto-generated
HDB PARKING SG,Transport,synthetic,auto-generated
CARPARK SG PTE LTD,Transport,synthetic,auto-generated
SINGAPOREAIR SQ,Transport,synthetic,auto-generated
SINGAPORE AIRLINES SG,Transport,synthetic,auto-generated
SCOOT PTE LTD SG,Transport,synthetic,auto-generated
SCOOT TIGERAIR SG,Transport,synthetic,auto-generated
JETSTAR ASIA SG,Transport,synthetic,auto-generated
AIRASIA SINGAPORE,Transport,synthetic,auto-generated
TIGERAIR SINGAPORE,Transport,synthetic,auto-generated
BATIK AIR SG,Transport,synthetic,auto-generated
SHELL SINGAPORE,Transport,synthetic,auto-generated
SHELL EAST COAST,Transport,synthetic,auto-generated
CALTEX SINGAPORE,Transport,synthetic,auto-generated
CALTEX BEDOK,Transport,synthetic,auto-generated
SPC SINGAPORE,Transport,synthetic,auto-generated
SPC JURONG EAST,Transport,synthetic,auto-generated
ESSO SINGAPORE,Transport,synthetic,auto-generated
EXXONMOBIL BEDOK,Transport,synthetic,auto-generated
BP SINGAPORE,Transport,synthetic,auto-generated
PETRONAS SG,Transport,synthetic,auto-generated
COMFORT TRANSPORTATION,Transport,synthetic,auto-generated
TRANSIT SYSTEMS SG,Transport,synthetic,auto-generated
STRIDES TRANSPORTATION,Transport,synthetic,auto-generated
WOODLANDS TRANSPORT,Transport,synthetic,auto-generated
EGENCIA TRAVEL SG,Transport,synthetic,auto-generated
DIRECT ASIA TRAVEL,Transport,synthetic,auto-generated
SHOPEE SG PTE LTD,Shopping,synthetic,auto-generated
SHOPEE SINGAPORE PTE,Shopping,synthetic,auto-generated
LAZADA SG PTE LTD,Shopping,synthetic,auto-generated
LAZADA SINGAPORE,Shopping,synthetic,auto-generated
AMAZON SG,Shopping,synthetic,auto-generated
AMAZON SINGAPORE,Shopping,synthetic,auto-generated
QOO10 SINGAPORE,Shopping,synthetic,auto-generated
CAROUSELL SG,Shopping,synthetic,auto-generated
ZALORA SINGAPORE,Shopping,synthetic,auto-generated
LOVE BONITO SG,Shopping,synthetic,auto-generated
UNIQLO VIVOCITY,Shopping,synthetic,auto-generated
UNIQLO ORCHARD,Shopping,synthetic,auto-generated
UNIQLO JURONG POINT,Shopping,synthetic,auto-generated
UNIQLO TAMPINES,Shopping,synthetic,auto-generated
H&M SINGAPORE,Shopping,synthetic,auto-generated
H AND M SG,Shopping,synthetic,auto-generated
ZARA SINGAPORE,Shopping,synthetic,auto-generated
ZARA ORCHARD,Shopping,synthetic,auto-generated
COTTON ON SG,Shopping,synthetic,auto-generated
COTTON ON VIVOCITY,Shopping,synthetic,auto-generated
CHARLES & KEITH SG,Shopping,synthetic,auto-generated
PEDRO SINGAPORE,Shopping,synthetic,auto-generated
BERSHKA SINGAPORE,Shopping,synthetic,auto-generated
PULL AND BEAR SG,Shopping,synthetic,auto-generated
ISETAN SINGAPORE,Shopping,synthetic,auto-generated
ISETAN ORCHARD,Shopping,synthetic,auto-generated
TANGS SINGAPORE,Shopping,synthetic,auto-generated
ROBINSONS SG,Shopping,synthetic,auto-generated
METRO SINGAPORE,Shopping,synthetic,auto-generated
OG SINGAPORE,Shopping,synthetic,auto-generated
BHG SINGAPORE,Shopping,synthetic,auto-generated
MARKS SPENCER SG,Shopping,synthetic,auto-generated
DAISO JAPAN JURONG,Shopping,synthetic,auto-generated
DAISO JAPAN BEDOK,Shopping,synthetic,auto-generated
DAISOJAPAN TAMPINES,Shopping,synthetic,auto-generated
DAISOJAPAN AMK,Shopping,synthetic,auto-generated
DONKI ORCHARD,Shopping,synthetic,auto-generated
DONKI JURONG,Shopping,synthetic,auto-generated
LOTTE DFS T2,Shopping,synthetic,auto-generated
LOTTE DFS CHANGI,Shopping,synthetic,auto-generated
DFS SINGAPORE,Shopping,synthetic,auto-generated
SHILLA DUTY FREE,Shopping,synthetic,auto-generated
CHANGI AIRPORT RETAIL,Shopping,synthetic,auto-generated
CHANGI RECOMMENDS,Shopping,synthetic,auto-generated
COURTS SINGAPORE,Shopping,synthetic,auto-generated
HARVEY NORMAN SG,Shopping,synthetic,auto-generated
BEST DENKI SG,Shopping,synthetic,auto-generated
CHALLENGER SG,Shopping,synthetic,auto-generated
APPLE STORE SINGAPORE,Shopping,synthetic,auto-generated
SAMSUNG STORE SG,Shopping,synthetic,auto-generated
GAIN CITY SG,Shopping,synthetic,auto-generated
AUDIO HOUSE SG,Shopping,synthetic,auto-generated
SEPHORA SINGAPORE,Shopping,synthetic,auto-generated
SEPHORA VIVOCITY,Shopping,synthetic,auto-generated
INNISFREE SINGAPORE,Shopping,synthetic,auto-generated
ETUDE HOUSE SG,Shopping,synthetic,auto-generated
THE FACE SHOP SG,Shopping,synthetic,auto-generated
NATURE REPUBLIC SG,Shopping,synthetic,auto-generated
GUARDIAN PHARMACY SG,Shopping,synthetic,auto-generated
GUARDIAN BEDOK,Shopping,synthetic,auto-generated
FITNESS FIRST SG,Health,synthetic,auto-generated
FITNESS FIRST ORCHARD,Health,synthetic,auto-generated
ANYTIME FITNESS SG,Health,synthetic,auto-generated
ANYTIME FITNESS BEDOK,Health,synthetic,auto-generated
VIRGIN ACTIVE SG,Health,synthetic,auto-generated
F45 TRAINING SG,Health,synthetic,auto-generated
CELEBRITY FITNESS SG,Health,synthetic,auto-generated
TRUE FITNESS SG,Health,synthetic,auto-generated
BFIT HEALTH SG,Health,synthetic,auto-generated
BFIT ORCHARD,Health,synthetic,auto-generated
PURE FITNESS SG,Health,synthetic,auto-generated
GYMBOXX SG,Health,synthetic,auto-generated
SNAP FITNESS SG,Health,synthetic,auto-generated
JETTS FITNESS SG,Health,synthetic,auto-generated
RAFFLES MEDICAL SG,Health,synthetic,auto-generated
RAFFLES HOSPITAL SG,Health,synthetic,auto-generated
MOUNT ELIZABETH HOSP,Health,synthetic,auto-generated
GLENEAGLES HOSPITAL,Health,synthetic,auto-generated
PARKWAY HEALTH SG,Health,synthetic,auto-generated
PARKWAY SHENTON SG,Health,synthetic,auto-generated
THOMSON MEDICAL SG,Health,synthetic,auto-generated
SINGAPORE GENERAL,Health,synthetic,auto-generated
NUH SINGAPORE,Health,synthetic,auto-generated
TTSH SINGAPORE,Health,synthetic,auto-generated
POLYCLINIC SG,Health,synthetic,auto-generated
NHGP POLYCLINIC,Health,synthetic,auto-generated
SHP POLYCLINIC,Health,synthetic,auto-generated
SINGHEALTH POLYCLINIC,Health,synthetic,auto-generated
ACUMED MEDICAL SG,Health,synthetic,auto-generated
UNIHEALTH MEDICAL,Health,synthetic,auto-generated
DOCTOR ANYWHERE SG,Health,synthetic,auto-generated
MYCLINIC SG,Health,synthetic,auto-generated
Q&M DENTAL SG,Health,synthetic,auto-generated
UNITY DENTICARE SG,Health,synthetic,auto-generated
PACIFIC HEALTHCARE SG,Health,synthetic,auto-generated
SMILE INC DENTAL,Health,synthetic,auto-generated
T32 DENTAL SG,Health,synthetic,auto-generated
ORCHARD SCOTTS DENTAL,Health,synthetic,auto-generated
WATSONS PHARMACY SG,Health,synthetic,auto-generated
WATSONS SINGAPORE,Health,synthetic,auto-generated
GUARDIAN HEALTH SG,Health,synthetic,auto-generated
UNITY PHARMACY SG,Health,synthetic,auto-generated
ALPRO PHARMACY SG,Health,synthetic,auto-generated
PHYSIO CONNECT SG,Health,synthetic,auto-generated
PHYSIOTHERAPY SG,Health,synthetic,auto-generated
SPORTS MEDICINE SG,Health,synthetic,auto-generated
ORTHOPAEDIC CLINIC,Health,synthetic,auto-generated
SPECIALIST CLINIC SG,Health,synthetic,auto-generated
UROLOGY CENTRE SG,Health,synthetic,auto-generated
ADVANCED UROLOGY SG,Health,synthetic,auto-generated
MAVEN CLINIC SG,Health,synthetic,auto-generated
OPTIQUE VISION SG,Health,synthetic,auto-generated
OWNDAYS SINGAPORE,Health,synthetic,auto-generated
SOLVISION OPTOMETRY,Health,synthetic,auto-generated
GREATEASTERNLIFE SG,Health,synthetic,auto-generated
GREAT EASTERN INS,Health,synthetic,auto-generated
PRUDENTIAL SINGAPORE,Health,synthetic,auto-generated
AIA SINGAPORE,Health,synthetic,auto-generated
NTUC INCOME SG,Health,synthetic,auto-generated
AVIVA SINGAPORE,Health,synthetic,auto-generated
TOKIO MARINE SG,Health,synthetic,auto-generated
DIRECT ASIA INS SG,Health,synthetic,auto-generated
FWD INSURANCE SG,Health,synthetic,auto-generated
SINGLIFE SG,Health,synthetic,auto-generated
SP SERVICES SG,Utilities,synthetic,auto-generated
SP GROUP SINGAPORE,Utilities,synthetic,auto-generated
SP DIGITAL PTE LTD,Utilities,synthetic,auto-generated
SP DIGITAL SINGAPORE,Utilities,synthetic,auto-generated
UNION GAS SG,Utilities,synthetic,auto-generated
UNION GAS CNERGY SG,Utilities,synthetic,auto-generated
CNERGY GAS SG,Utilities,synthetic,auto-generated
CNERGY SINGAPORE,Utilities,synthetic,auto-generated
CITY GAS SG,Utilities,synthetic,auto-generated
CITYGAS PTE LTD,Utilities,synthetic,auto-generated
GENECO SINGAPORE,Utilities,synthetic,auto-generated
GENECO PTE LTD,Utilities,synthetic,auto-generated
SEMBCORP POWER SG,Utilities,synthetic,auto-generated
KEPPEL ELECTRIC SG,Utilities,synthetic,auto-generated
SENOKO ENERGY SG,Utilities,synthetic,auto-generated
PUB SINGAPORE,Utilities,synthetic,auto-generated
PUB UTILITIES SG,Utilities,synthetic,auto-generated
SINGAPORE POWER,Utilities,synthetic,auto-generated
STARHUB UTILITIES,Utilities,synthetic,auto-generated
M1 UTILITIES SG,Utilities,synthetic,auto-generated
NETFLIX SINGAPORE,Subscriptions,synthetic,auto-generated
NETFLIX.COM SG,Subscriptions,synthetic,auto-generated
SPOTIFY SINGAPORE,Subscriptions,synthetic,auto-generated
SPOTIFY PREMIUM SG,Subscriptions,synthetic,auto-generated
DISNEY PLUS SG,Subscriptions,synthetic,auto-generated
DISNEY+ SINGAPORE,Subscriptions,synthetic,auto-generated
APPLE.COM/BILL SG,Subscriptions,synthetic,auto-generated
APPLE SUBSCRIPTIONS,Subscriptions,synthetic,auto-generated
GOOGLE *GOOGLE ONE,Subscriptions,synthetic,auto-generated
GOOGLE STORAGE SG,Subscriptions,synthetic,auto-generated
YOUTUBE PREMIUM SG,Subscriptions,synthetic,auto-generated
YOUTUBE MUSIC SG,Subscriptions,synthetic,auto-generated
AMAZON PRIME SG,Subscriptions,synthetic,auto-generated
AMAZON PRIME VIDEO,Subscriptions,synthetic,auto-generated
STARHUB TV SG,Subscriptions,synthetic,auto-generated
SINGTEL TV SG,Subscriptions,synthetic,auto-generated
MEWATCH SINGAPORE,Subscriptions,synthetic,auto-generated
VIU SINGAPORE,Subscriptions,synthetic,auto-generated
DIMSUM SG,Subscriptions,synthetic,auto-generated
CATCHPLAY SG,Subscriptions,synthetic,auto-generated
M1 LIMITED SG,Subscriptions,synthetic,auto-generated
M1 MOBILE SG,Subscriptions,synthetic,auto-generated
SINGTEL SINGAPORE,Subscriptions,synthetic,auto-generated
STARHUB SINGAPORE,Subscriptions,synthetic,auto-generated
CIRCLES LIFE SG,Subscriptions,synthetic,auto-generated
GIGA SG,Subscriptions,synthetic,auto-generated
MICROSOFT 365 SG,Subscriptions,synthetic,auto-generated
ADOBE SG,Subscriptions,synthetic,auto-generated
DROPBOX SG,Subscriptions,synthetic,auto-generated
ICLOUD SG,Subscriptions,synthetic,auto-generated
CANVA SG,Subscriptions,synthetic,auto-generated
NOTION SG,Subscriptions,synthetic,auto-generated
CHATGPT SG,Subscriptions,synthetic,auto-generated
OPENAI SG,Subscriptions,synthetic,auto-generated
GOLDEN VILLAGE SG,Entertainment,synthetic,auto-generated
GV CINEMA SG,Entertainment,synthetic,auto-generated
SHAW THEATRES SG,Entertainment,synthetic,auto-generated
CATHAY CINEPLEXES,Entertainment,synthetic,auto-generated
FILMGARDE CINEMAS SG,Entertainment,synthetic,auto-generated
WE CINEMAS SG,Entertainment,synthetic,auto-generated
IMAX SINGAPORE,Entertainment,synthetic,auto-generated
DOLBY ATMOS SG,Entertainment,synthetic,auto-generated
ESCAPE ROOM SG,Entertainment,synthetic,auto-generated
THE ESCAPE ARTIST,Entertainment,synthetic,auto-generated
VIRTUAL ROOM SG,Entertainment,synthetic,auto-generated
KNOTTY AFFAIR SG,Entertainment,synthetic,auto-generated
ARCADE SINGAPORE,Entertainment,synthetic,auto-generated
TIMEZONE SG,Entertainment,synthetic,auto-generated
TIMEZONE JURONG,Entertainment,synthetic,auto-generated
VIRTUALAND SG,Entertainment,synthetic,auto-generated
LASER QUEST SG,Entertainment,synthetic,auto-generated
NERF ACTION SG,Entertainment,synthetic,auto-generated
WAVE HOUSE SENTOSA,Entertainment,synthetic,auto-generated
SKYLINE LUGE SG,Entertainment,synthetic,auto-generated
UNIVERSAL STUDIOS SG,Entertainment,synthetic,auto-generated
SEA AQUARIUM SG,Entertainment,synthetic,auto-generated
NIGHT SAFARI SG,Entertainment,synthetic,auto-generated
SINGAPORE ZOO,Entertainment,synthetic,auto-generated
BIRD PARADISE SG,Entertainment,synthetic,auto-generated
JURONG BIRD PARK,Entertainment,synthetic,auto-generated
SENTOSA LEISURE SG,Entertainment,synthetic,auto-generated
SENTOSA RESORTS,Entertainment,synthetic,auto-generated
SOLACE STUDIOS SG,Entertainment,synthetic,auto-generated
PHOTOBOOTH SG,Entertainment,synthetic,auto-generated
NEOPRINT STUDIO SG,Entertainment,synthetic,auto-generated
MYPHOTOLAB SG,Entertainment,synthetic,auto-generated
KLOOK SINGAPORE,Entertainment,synthetic,auto-generated
KKDAY SINGAPORE,Entertainment,synthetic,auto-generated
SISTIC SINGAPORE,Entertainment,synthetic,auto-generated
TICKETMASTER SG,Entertainment,synthetic,auto-generated
SPORTS HUB SG,Entertainment,synthetic,auto-generated
KALLANG LEISURE,Entertainment,synthetic,auto-generated
FAVEPAY SINGAPORE,Others,synthetic,auto-generated
FAVEPAY PTE LTD,Others,synthetic,auto-generated
ATOME SG,Others,synthetic,auto-generated
HOOLAH SG,Others,synthetic,auto-generated
GRAB*PAYLATER SG,Others,synthetic,auto-generated
GRABPAY WALLET,Others,synthetic,auto-generated
PAYNOW TRANSFER,Others,synthetic,auto-generated
PAYLAH TRANSFER,Others,synthetic,auto-generated
DBS PAYNOW SG,Others,synthetic,auto-generated
UOB PAYNOW SG,Others,synthetic,auto-generated
AXS SINGAPORE,Others,synthetic,auto-generated
SAM KIOSK SG,Others,synthetic,auto-generated
SINGPOST SG,Others,synthetic,auto-generated
SINGPOST ECOMMERCE,Others,synthetic,auto-generated
DHL SINGAPORE,Others,synthetic,auto-generated
FEDEX SINGAPORE,Others,synthetic,auto-generated
QXPRESS SG,Others,synthetic,auto-generated
NINJAVAN SG,Others,synthetic,auto-generated
7-ELEVEN-EASTCOASTRD,Food,manual,convenience store
ADVANCED UROLOGY ASSOCI,Health,manual,urology specialist clinic
ALFAMEDICUS.COM,Health,manual,medical
APPLE.COM/BILL CORK,Subscriptions,manual,Apple subscriptions
BENGAWANSOLO@PP,Food,manual,Bengawan Solo bakery
BFITHEALTH,Health,manual,BFit gym/health
BUS/MRT788439957,Transport,manual,public transport
BUS/MRT808762699,Transport,manual,public transport
CNERGY,Utilities,manual,gas utility
DAISOJAPAN-EPM,Shopping,manual,Daiso Japan
DIRECT ASIA INS Direct,Health,manual,insurance
DON DON DONKI - SUNTEC,Food,manual,Don Don Donki supermarket/food
EGENCIA SINGAPORE PTE L,Transport,manual,corporate travel booking
ENETS*AMEX NFP TOP-UP N,Others,manual,payment platform top-up
EXXONMOBIL EAST COAST,Transport,manual,petrol station
FAIRPRICE APP VIVO FAIR,Groceries,manual,NTUC FairPrice groceries
FAVEPAY -,Others,manual,cashback payment platform
GREATEASTERNLIFE,Health,manual,life insurance
Grab*A-8T95Q4VWX4JTAV,Food,manual,Grab Food delivery
Grab*A-8U3PPMTGWKITAV,Food,manual,Grab Food delivery
Grab*A-8UICHBIW4PQ7AV,Food,manual,Grab Food delivery
Grab*A-8V2Q4VKWWRI5AV,Food,manual,Grab Food delivery
Grab*A-8VSVC8LGXXQVAV,Food,manual,Grab Food delivery
Grab*A-8VWPBGRWW8KLAV,Food,manual,Grab Food delivery
Grab*A-92JFL6WGXDIIAV,Food,manual,Grab Food delivery
Grab*A-939CJG3WWMQRAV,Food,manual,Grab Food delivery
Grab*A-94HVUOTGWCDSAV,Food,manual,Grab Food delivery
Grab*A-97743LRWX2VUAV,Food,manual,Grab Food delivery
Grab*A-9WSGPOQGWS3IAV,Food,manual,Grab Food delivery
Grab*A-9XETUGDGWUSDAV,Food,manual,Grab Food delivery
Grab*A-9XM3KVJWWAAPAV,Food,manual,Grab Food delivery
HAWKERS STREET PTE LTD-,Food,manual,hawker food
ICETALKSIGNATURETE,Food,manual,Ice Talk bubble tea
JUNGYIKOREANBBQ,Food,manual,Jungyi Korean BBQ restaurant
KOPITIAM INVESTMENT,Food,manual,Kopitiam food court
LAZADA Lazada,Shopping,manual,Lazada e-commerce
LOTTE DFS T3,Shopping,manual,Lotte Duty Free T3
LOTTE T2 DEPARTURE CENT,Shopping,manual,Lotte T2 departure shopping
M1 LIMITED M1APP+ M1,Subscriptions,manual,M1 telco subscription
MACCHA HOUSE,Food,manual,Maccha House cafe
MAVEN SURGERY,Health,manual,surgery clinic
MOOLOOLABAR,Food,manual,Mooloolaba Bar restaurant
MORGANFIELDS,Food,manual,Morganfields restaurant
MTHAIRESTAURANTAND,Food,manual,M Thai Restaurant
NTUC FAIRPRICE APP PAYM,Groceries,manual,NTUC FairPrice groceries
NTUC FP - BT HO SWEE,Groceries,manual,NTUC FairPrice Buona Vista
OPTIQUE ZONE,Health,manual,optician/eyewear
PARKING.SG BILL_0DA152,Transport,manual,parking.sg
PARKING.SG BILL_190BA0,Transport,manual,parking.sg
PARKING.SG BILL_20BC9A,Transport,manual,parking.sg
